full_text,label
liga dihentikan pemerintah dapatkan hasil evaluasi sepakbola pssi liga dihentikan evaluasi ligaindonesia bola tragedikanjuruhan sepakbolaindonesiaberduka,negatif
komdis pssi beberkan putusan sanksi arema fc tragedi kanjuruhan aremafc tragedikanjuruhan kanjuruhanberdukacita pssi stadionkanjuruhan com,negatif
aksi solidaritas tragedi kanjuruhan ribuan suporter sepak bola ngawi doa malang poldajatim pssi berita terkini cepat lugas akurat,positif
tragedi kanjuruhan kesalahan ipi stop sudutkan polisi poldajatim pssi mabespolri malang,negatif
insan sepak bola buleleng diajak ambil pelajaran tragedi kanjuruhan arema askabpssi gedesuyasa persebaya pssi sepakbola,negatif
pssi siapkan format keamanan perintah presiden jokowi pssi stadionkanjuruhan kanjuruhanberdukacita com,negatif
pesan bpk berseragam hijau coklat dipersenjatai lengkap membantai rakyat sipil polisisemakinbrutal polisibonekaoligarki polisiindonesia pssi pssiwajibtanggungjawa jokowihebat jokowibapakinfrastruktur jokowimendunia,negatif
kegiatan masal sunatan masal nikah masal pemmbunuhan masal kanjuruhanberdukacita kanjuruhanstadium aremania pssi malang,negatif
komite disiplin komdis pssi menjatuhkan sanksi berat arema fc bolaskorcom pssi aremafc liga,positif
yg aneh sih tragedi kanjuruhan indonesia melaksanakan event sepakbola dunia piala dunia yunior prestasi timnas indonesia yg membaik berbela sungkawa utk korban tragedi save pssi afc fifa,negatif
pssi menjatuhkan sanksi denda klu arema fc rp juta merahputihcom pssi aremafc kanjuruhan prayforkanjuruhan,positif
psim yogyakarta prayforkanjuruhan kanjuruhanberdukacita stadionmandalakrida pssiwajibtanggungjawa pssi,positif
temukan kelalaian panpel pelaksana pertandingan security officer steward baca jatimnow pssi s,negatif
