full_text,label
itsli resmi coach bima sakti piala dunia ajang belajar mencari pengalaman siapin tagar gantibima leh uga tuh guys ligasatuindonesia briliga pssi timnasindonesia gantibimasakti pialaduniau bsout tolongganticoachbimasakti,negatif
ltid yandi sofyan membela timnas ltid ligatarkamid beritabola beritabolaindonesia timnasindonesia pssi sepakbolaindonesia ptli liga briliga indonesialiga,positif
banget liat garudamendunia pssi erickthohir sepakbola garudamuda sepakbolaindonesia timnas,positif
gaskeun liga penonton udah ga sabar pssi sepakbola liga erickthohir liga sepakbolaindonesia,positif
jis direnovasi gara gara pssi beli bus tingkat bener nggak ya postingan coba dicek kuy jis jakartainternationalstadium pssi bustingkat hoaks cekfakta hoaksataufakta,negatif
persita tangerang vs psm makassar persita psmmakassar prediksiskor pssi briliga headtohead radarpena,negatif
prediksi skor persia vs psm makassar liga pekan prediksi persitatangerang psmmakassar liga pssi headtohead,negatif
jelang tantang persis bri liga bojan hodak istirahatkan pemain persi berita selengkapnya berita ligasatuindonesia briliga pssi persi persibbandung,negatif
kalah uji coba bima sakti dipecat kepelatihan timnas indonesia u cek prediksi linkstreaming livestreaming timnas indonesia pssi bimasakti,negatif
lagu viral pssi menyambut kemerdekaan ri by muhammad ari pratomo muhammadarilaw pssi indonesia duniabola viral,negatif
barito putera kalahkan arema fc berita ligasatuindonesia briliga pssi pssleman persija,negatif
