full_text,label
merpati sports informasi terbaik seputar olahraga timnas indonesia tingkatkan produktivitas r timnas indonesia timnasday timnasindonesia sepakbola asiangames timnasu timnasu timnasu pssi football jakarta seagames,negatif
juara juara ratusan nyawa pertanggungjawabkan fck terlibat tawar menawar keparat mantan ketum pembunuh timnasday timnasindonesia pssi seagames,negatif
terima kasih ucapkan atlet tanah air berjuang keras mengharumkan nama bangsa ajang sea games kamboja semoga capaian kedepannya eventologi seagames indonesia timnasday timnas pssi,positif
timnas indonesia u sabet medali emas sea games football institute jokowi gak salah pilih ketum pssi timnasday seagames jokowi pssi,negatif
siaran pers ketua dpd ri rabu mei penantian lanyalla bangga timnas indonesia raih emas ajang sea games jakarta torehan positif timnas indonesia sukses meraih medali emas cabang next lanyalla seagame bolaindonesia pssi,positif
congratulations ketum erick thohir belajar coach indra sjafri utk percaya produk lokal beliau kepercayaan pemain timnas lahir amp indonesia utk meraih mimpi thn meraih emas sepak bola sea games indrasjafri pssi seagames,negatif
erickthohir buktikan layak cawapres kepemimpinannya bumn erickthohir pssi bumn,positif
timnas banget yg dukung bangga kerja keras terima kasih berjuang indonesia kitagaruda timnasdapatemas erickthohir ericksolusi timnas timnasday timnasindonesia sepakbola sepakbolaindonesia seagames pssi ketumpssi,positif
aksi ketua pssi erick thohir turun lapangan tribun vip menenangkan pemain official kerusuhan laga final sea games indonesia vs thailand nn erickthohir seagames pssi ketuaumum ketumpssi indonesia thailand,positif
erickthohir buktikan layak cawapres kepemimpinannya bumn erickthohir pssi bumn,positif
pejabat pejabat minggir ya seagames indonesia pssi sisilain,negatif
pertemuan berlanjut ruang kerja menhan prabowo mendiskusikan perkembangan isu terkini terkait pertahanan negara prabowo prabowosubianto erickthohir bumn pssi kemhan kemhanri,positif
pssi bawa sepak bola indonesia berprestasi pdip apresiasi kerja nyata erick thohir pssi,negatif
finally penantian timnas u juara sea games timnasday timnas pssi erickthohir jokowi menteribumn cawapres cawapres bumn bumnuntukindonesia sepakbola sepakbolaindonesia seagames coldplay,positif
jujurly sedih campur haru sosok pemimpin timnasday timnas pssi erickthohir jokowi menteriolahraga menteriolahragaindonesia cawapres cawapres bumn sepakbola sepakboladunia seagames seagames indonesia coldplay,positif
ketum pssi kebanggan anak bangsa timnasday timnas pssi erickthohir jokowi aryasinulingga menteribumn menteriolahraga menteriolahragaindonesia jokowipresidenku cawapres cawapres bumn bumnuntukindonesia sepakbola sepakbolaindonesia,positif
keberanian yg beliau seakan ga takut apapun bela timnas yg ketum melindungi kaya beliau kitagaruda timnasdapatemas erickthohir ericksolusi timnas timnasday timnasindonesia sepakbola seagames pssi,positif
selamat timnas mens football indonesia for gold medals pssi indonesiavsthailand,negatif
selamat juara diraih timnas u sea games kamboja seagames pssi timnasindonesia pgnsolution solutionation energizingyou energibaikbaginegeri menyalurkanenergibaik,positif
indonesia mentalitas juara terbukti mental pertandingan lanjutkan erickthohir tularkan semangat juang pantang menyerah garudamuda generasimuda bangsa indonesia erickmeroket pssi,positif
selamat timnas indonesia u indonesiavsthailand indonesiajuara kobarkansemangatgaruda saatnyaindonesiajuara timnasu timnasindonesia seagames indrasjafri pssi erickthohir indonesiavsthailand bostonricardowau,positif
pas liat kericuhan gue merinding sih deg an panik ketum lgsg turun lapangan nenangin tim semoga aman timnasdapatemas erickthohir ericksolusi timnasday timnasindonesia sepakbola seagames pssi,positif
woww selamat indonesia berhasil membawa medali emasi timnasday juaraseagames seagames pssi indonesia,positif
garuda nusantara merayakan euforia kemenangan mengalahkan thailand laga final sea games pemain meniru selebrasi lionel messi tidur trofi peluk maskot yld gtv seagames timnasindonesia garudanusantara sepakbola pssi,positif
presiden jokowi hadiah timnas indonesia presidenjokowi pssi seagames timnasindonesia,positif
iwan bule apresiasi timnas indonesia berhasil raih emas sea games seagames iwanbule pssi sepakbola timnasindonesia timnas timnasday seagames seagames beritabolaterbaru,positif
memanas laga indonesia vs thailand final sea games diwarnai keributan sepakbola sepakbolaindonesia sepakboladunia seagames videoviral beritabolaterbaru beritaterkini beritaseindonesia pssi fifa,negatif
tugas menunggu ketum pssi harap melangkah sang sutradara krn yg bpk lakukan dibilang pencitraan pssi,positif
timnas indonesia raih medali emas komentar media negeri pssi seagames thailand timnasindonesia,negatif
selebrasi kemenangan indonesia laga menegangkan semalam indonesia hebat indonesia juara erickthohir pssi sepakbola indonesia seagames timgaruda juara berprestasi seputarerickthohir,positif
media malaysia sirik kesuksesan indonesia lantaran thailand vietnam turunkan lapis timnasu timnasdaya garudamuda pssi mediamalaysia,negatif
dibalik euforia lupa ingetin marcelino egois negara kejar rekor individu timnasday pssi,negatif
alhamdulillaah congratulations tahniah timnasindonesia u keberhasilannya meraih gold medal final sepakbola indonesia vs thailand sea games cambodia timnasindonesia timnasu seagames seagamescambodia sepakbola pssi,negatif
terimakasih marceng ntt bangga marcelino marceng timnasu timnasdapatemas timnasindonesia pssi,negatif
gold medal for indonesia congratulations u timnas indonesia at seagames seagames indonesia proud kitagaruda garudaindonesia football soccer pssi,negatif
indonesiavsthailand lihat yg podium memiliki unggulan tim clu bola garuda berjuang bersatu semoga kedepan pelajaran semu pssi indonesiajuara,positif
pengakuan sumardji korban pemukulan official thailand final sea games perjuangan seagames pssi,negatif
patut contoh si tampan pemberani rancahpost pssi seagames,negatif
semoga insiden dilaga laga rancahpost seagames timnasindonesia pssi,negatif
juara piala aff u juara piala aff u medali emas sea games apresiasi tertinggi indra sjafri kiprah prestasinya timnas indonesia seagames indonesia pssi,negatif
menunggu terbayar lunas event selamat timnas pssi jajaran seagames cambodia indonesiavsthailand football,negatif
kaisar abu hanifah semoga timnas indonesia berkembang meraih gelar ajang kaisarabuhanifah pk pssi seagames timnasindonesia,positif
kehilangan melupakan tragedikanjuruhan kanjuruhan usuttuntas aremania pssi,negatif
banggaa timnasday indonesiajuara penantian berharga menatap garudamudaindonesia terimakasih mendukung erickthohir selamat trophy pertamanya pssi erickmeroket,positif
penantian mendali emas tercapai erick thohir alhamdulillah ya allah erickthohir pssi seagames,positif
congrats timnas indonesia semoga sepakbola indonesia ditangan erick thohir maju erickthohir pssi seagames roemahkemenanganet roket erickthohirbukanmaen bumnuntukindonesia bumnhadiruntuknegeri erickthohirsolusirakyat indonesiamaju,positif
membanggakan semoga menjadikan negara indonesia akui dunia cabang olahraga sepakbola olahraga selamat timnas sepakbola indonesia pssi timnasday prabowosubianto gerindra mendingprabowo gerindrajateng gerindrasragen,positif
congrats timnas indonesia semoga sepakbola indonesia ditangan erick thohir maju erickthohir pssi seagames roemahkemenanganet roket erickthohirbukanmaen bumnuntukindonesia bumnhadiruntuknegeri erickthohirsolusirakyat indonesiamaju,positif
selamat timnas sepakbola indonesia selamat timnas sepakbola indonesia salam indonesia raya gerindra menang prabowo presiden pssi timnasindonesia prabowosubianto gerindra gerindramenang mendingprabowo gerindrajateng gerindrasragen,negatif
indra sjafri kronologi kericuhan final sepak bola sea games thailand terima seagames kericuhan pssi,negatif
selamat utk timnas indonesia u garuda muda sea games kamboja meraih medali emas penantian thn pssi sepakbolaindonesia seagames gusmuhaimin hasbiallahilyas nurhasanse,positif
ditutup tembakan jarak punggawa timnas indonesia beckham putra puasa indonesia gold medal beckhamputra pssi timnasday timnasindonesia,negatif
congrats timnas indonesia semoga sepakbola indonesia ditangan erick thohir maju erickthohir pssi seagames roemahkemenanganet erickthohirbukanmaen bumnuntukindonesia bumnhadiruntuknegeri erickthohirsolusirakyat indonesiamaju,positif
luaarr biasaa penantian medali emas cabang sepakbola sea games pulang indonesia seagames medaliemas indonesia erickthohir pssi sepakbolaindonesia timnasindonesia erickthohirwapres erickthohirsolusirakyat,positif
timnas indonesia ukir sejarah kalahkan thailand amp juara final sea gam indonesia juara seagames timnasindonesia pssi sepakbola medaliemas thailand berita news kompastv kompastvjatim,negatif
selamat timnas sepakbola indonesia berhasil medali emas sea games erickthohir pssi sepakbolaindonesia seagames timnasindonesia medaliemas erickthohirsolusirakyat erickthohirwapres,positif
