full_text,label
kalo gas air mata gak tembakan gak korban gas air mata kaya obat nyamuk kalo demo berlarian kalo stadion susah lari kasian orang menikmati permainan korban terinjak injak pssi kanjuruhan gasairmata,netral
sepak bola indonesia maju pssi kalangan politisi kalangan politisi maju buktikan pssi kanjuruhan aremania,positif
pssi akui lapor fifa tragedi kanjuruhan pssiwajibtanggungjawa pssi tragedikanjuruhan kanjuruhan aremaberduka com,negatif
pssi pt li sepekat menyetop liga pekan buntut tragedi kanjuruhan malang nasi kompetisi pssi,positif
mahfud md soroti tragedi kanjuruhan menkopolhukan panggil kapolri pssi tragedikanjuruhan prayforkanjuruhan pssi kapolri aremafc persebaya mahfudmd menkopolhukam,negatif
siapkan sebentar mendukung penggunaan gas air mata stadion tandatangani petisi dibawah pssi kanjuruhan arema aremania persebaya bonek menpora fifa gobok indosiar prayforkanjuruhan kanjuruhan aremania pssi,negatif
masuk kedalam lapangan pertandingan kejahatan supporter mendengar tim sepak bola kelompok supporter didunia hukum prayforkanjuruhan pssi kanjuruhandisaster sepakbolaindonesiaberduka aremaberduka,negatif
salah berduka what a joke pssi kanjuruhandisaster,positif
sepak bola indonesia berduka ratusan orang kehilangan nyawa akibat kejadian kerusuhan selepas laga derbi jawa timur arema fc kontra persebaya surabaya stadion kanjuruhan ka malang sabtu malam jokerbola jokerbolainfo infojokerbola pssi,positif
tragedi kanjuruhan menpora pssi evaluasi sistem pertandingan sepakbola indonesia menpora pssi kanjuruhan stadionkanjuruhan aremaniaberduka com,negatif
tuh lg fitnah korban yg orang yg orang ratusan org goblok pssi kanjuruhandisaster kanjuruhan malang biadab,netral
ketum pssi arema fc dilarang main stadion kanjuruhan musim aremafc arema pssi stadionkanjuruhan kanjuruhan kanjuruhanstadium com,negatif
ketum pssi kapolda jatim kapolres legowo menteri pemuda amp olahraga utk persilahkan mengundurkan prayforkanjuruhan pssi indonesia,negatif
semoga anggota tni bertaubat pssi kanjuruhandisaster dukauntukkanjuruhan prayforarema,negatif
crazy slot mania total hadiah miliar boss warga wargi exabet cari cuan udah profit boss yok merapat link gacornya slotgacor pssi kdpersebaya,positif
