full_text,label
erickthohirnews gak bahaya ta kikisaputri kiki erickthohir pssi jis fyp f tiktok bangkitbersamaet,positif
stadion manahan solo venue semifinal final piala dunia u erickthohir pialaduniau pssi stadionmanahansolo,positif
selengkapnya pssibisaapa pssi pssinow komdispssi persebayaday persebaya persebayasurabaya koinuntukpssi,negatif
timnas sepak bola amputasi indonesia juara piala acc lawan timnas malaysia persam pssi timnasindonesia,negatif
ketua pssi erick thohir mantan pelatih timnas jerman u frank wormuth konsultan pelatih timnas indonesia u thephraseid ericktohir erickthohir pssi timnasindonesia timnasu,negatif
info rtp harian bosku cmgacor cmgacor cmgacor link pssi fifawomensworldcup,negatif
gebrakan anyar pssi era kepengurusan erick thohir ketua pssi mengumumkan sosok konsultan pelatih anyar berkebangsaan jerman ist erickthohir pssi,negatif
kabar timnas erick thohir kunjungi seleksi timnas indonesia u didampingi dirtek pssi pssi timnasday sepakbola,positif
resmi pssi direktur teknik jerman pssi sepakbola timnasday,negatif
ketua pssi erick thohir solo bersejarah seleksi timnas u digelar stadion bersejarah stadion sri wedari solo solo mencatatkan sejarah venue semifinal final fifa world cup u erickthohir solo pssi,positif
prediksi madura united vs persis solo liga prediksiskor persissolo maduraunited liga pssi,negatif
