full_text,label
stefano cugurra teco khawatir proses adaptasi adilson maringa gimana so bolapelangi bolapelangi pssi timnasindonesia timnasfutsalindonesia timnasu persija persi psmmakassar arema seagames,negatif
arema fc datangkan ghufroni al ma ruf sih mantap so gimana tanggapan bolapelangi bolapelangi pssi timnasindonesia timnasfutsalindonesia timnasu persija persi psmmakassar arema seagames,negatif
hasil kerja keras kontingen sea games indonesia berhasil peringkat ketiga sepakbola berhasil medali emas bangkitbersamaet erickmeroket roketindo erickthohir botuna seagames pssi timnasindonesia,positif
selamat keberhasilan kontingen indonesia meraih peringkat ketiga ajang sea games kamboja terkhusus timnas sepakbola medali emas bangkitbersamaet erickmeroket roketindo erickthohir botuna seagames timnasindonesia sepakbolaindonesia pssi,positif
pegolf hadiri turnamen belitung golf championship series ii wabup ajang promosi sport tourism belitung baca selengkapnya golf turnamen pssi viral,negatif
jadwal timnas indonesia padat sea games pssi tugas indra sjafri shin tae yong timnasindonesia timnasday pssi indrasjafri shintaeyong,positif
pelantikan aska pssi diketuai h haris achmad dipimpin langsung sekretaris asprov pssi sulsel ahmadi djafri askabpssisinjai asprovpssisulsel pssi sepakbola perssinsinjai ahmadidjafri hajiharisachmad sinjai,negatif
posisi direktur teknik pssi dijabat indra sjafri sosok asing memegang posisi diumumkan pssi indonesia timnasindonesia,negatif
ketum pssi erick thohir pastikan indra sjafri pelatih timnas u ajang asian games september shin tae yong difokuskan piala asia galerisepakbola beritabola beritabolaindonesia pssi,negatif
ketua pssi erick thohir kegembiraan timnas indonesia u meraih medali emas sea games habis skuad merah putih fokus ajang pssi indonesia timnasindonesia,positif
knp damagenya gaketolongsiih ga bahaya ta seagame timnasindonesia pssi,positif
liga indonesia memperbolehkan menambah kuota khusus pemain timnas asean ligaindonesia thailand pssi bekelsego,negatif
seseru ngerayain timnas semoga kedepan terbang garudamuda erickthohir ericksolusi timnas timnasday timnasdapatemas timnasindonesia pssi ketumpssi sepakbola sepakbolaindonesia seagames welcominggaruda terimakasihjuara,positif
garudamuda berpesta besok berjuang harumkan nama bangsa terbang garuda ku erickthohir ericksolusi timnas timnasday timnasdapatemas timnasindonesia pssi ketumpssi sepakbola sepakbolaindonesia seagames,positif
timnas indonesia u disambut olah suporter mendarat bandara soekarno hatta berlaga sea games timnas indonesia u konvoi timnas pssi jokerbola seagames indonesia arakarakantimnas konvyy timnasdapatemas timnasday,positif
by menang lawan curacao pssi datangkan negara peringkat fifa timnas indonesia meraih kali kemenangan timnas curacao fifa matchday timnasindonesia,negatif
vigamax sudirmancup pawaikemenanganemas pssi ginting rinov inara yasi nasdem belanja tokped yu vigamax obatvigamax obatkuat vigamaxherbal obatkuatherbal obatkuattahanlama vigamaxaslioriginal,negatif
