full_text,label
kafein saham shipping arah penguatan smdr pssi,negatif
liga spanyol bolautama sepakbolaindonesia isl pssi,positif
tragedi kanjuruhan ketua pssi iwan bule bahagia pssi tragedikanjuruhan kanjuruhandisaster,negatif
pssi memutuskan mempercepat kongres kl digelar mantan anggota komite etik fifa dali tahir pandangan keputusan diambil federasi sepakbola tanah air pssi kl kanjuruhandisaster,negatif
liga inggris epl bolautama sepakbolaindonesia isl pssi,positif
aksi suporter suarakan usut tuntas tragedi kanjuruhan aksisuporter usuttuntas usuttuntastragedikanjuruhan tragedikanjuruhan pssi knmaneges knmcomunity saudarajiwa pemersatubangsa nkrihargamati,positif
menpora zainudin amali pastikan pemerintah campur kl pssi pssi kl,negatif
menpora pemerintah campuri kl pssi sepakbola kl pssi usuttuntas usuttragedikanjuruhan salingsupport bolaindonesia tragedikanjuruhan,negatif
mochamad iriawan kompetisi dilanjutkan kl pssi dipercepat timnasday kl pssi,negatif
pssi menggelar kl mencari sosok pengganti ketum dede yusuf kriteria calon ketum pssi,positif
menunggu kesini gblastadium persi pssi usuttuntas stadion gelora bandung lautan api,negatif
pssi gelar kongres thephraseid pssi sepakbola bola fifa,negatif
rapat exco pssi memutuskan percepatan kongres pemilihan mekanisme kl via infosumbar kl pssi,negatif
arema fc setuju pssi lakukan percepatan kl aremafc pssi klbpssi com,negatif
terkait kl pssi pastikan berdampak shin tae yong klbpssi pssi shintaeyong timnasindonesia,positif
