full_text,label
terlepas mendukung timnas u disayangkan kualitas lapangan malam timnasgaruda afcu pssi bimasakti,positif
langsung inget muncung nya si markus horison teriak local pride wakakakakakak telen tuh ludah bikin malu aja tolong ganti pelatih kiper timnas u nya makushorison bimasakti pssi localpride,positif
markus horison udah gak bangga ama anak anak indonesia u gagal afc asian u cup kalah ama malaysia u skor markus berteriak lokal payah localpayah lokalpayah afc afcu qualifiers pssi indonesia bima sakti timnas,negatif
menyepelekan anggap sepele boomerang perbaikandanperubahan pssi,negatif
aneh malaysia mengalahkan indonesia semoga pengalaman pahit berharga garudamuda berbenah pssi u inshaa allah lolos aff u aff pssi minggu local pride markus bima sakti iqbal pakansari malaysia,negatif
u berjuang tolong tua kasih statement byorkaa netizenn wkwkwkkwwk u pssi timnasu,negatif
kekalahan tayang youtube nasi adik menonton pertandingan ts malu liat komen nya bgmn ts coaches nasionalisme pssiwajibtanggungjawa pssi,negatif
liga spanyol bolautama sepakbolaindonesia isl pssi,positif
aneh ni ga maen gini logika ara saudi masi menang klo emang kalah selisih gol pa jng sampe piala aff terulang pa pssi markus timnas,negatif
oh kejutannya coach penjas pamungkas pssi timnasu,negatif
semangat le cah bagus u nggo pelajaran ojo nyepelekke mainmu under perform lapangane opo apik po piye u pssi,positif
kualifikasiafcu ft indonesia malaysia kaka kena bantai timnasindonesia timnasu indonesia pssi bola afcu afcu qualifiers sepakbola,negatif
tenang timnas u gagal lolos kualifikasi piala asia dibalas liga dangdut asia gmna coach bima sakti hahahaha timnasu timnasday pssi indonesiavsmalaysia ligadangdut indonesiandangdutawards,negatif
gagal babak kualifikasi piala asia u markus horison berteriak local payah selamat malaysia u indonesia u amp u belajar perangkap offside timnas pssi indonesia indonesiau afcu afcu qualifiers markushorison inamas,negatif
semangat adek mudah an tetep lolos yah u iqbal pssi,positif
pelajaran pengalaman berharga good jo garuda muda aneh stadion yg layak jis jakarta bogor udeh kaya liga tarkam bae pssi,positif
eksploitasi eksposur akibatnya bencana savetimnasu pssi,negatif
markus bawa mental aff tularkan mental lawan malasia u markus pssi timnas,negatif
pssi pertandingan timnas indonesia vs malaysia pelajaran berharga pelajaran dipelajari perkataan menghibur,positif
lapangan piala dunia sentadar fifa pssi,negatif
kali pilih stdion yg bener laga internasional kau mamerkan wajah indonesia dgn lapangan becek indonesia luas std jis bikin malu pssi pssibobrok timnasindonesia timnas idn vs mas dibatakan,positif
timnas indonesia u sengaja kalah malaysia bentuk kekecewaan pssi n u u pssi pssiwajibtanggungjawab,positif
pssi merubah main timnas sentuhan sentuhan,negatif
pssi merubah main timnas sentuhan susah majunya,negatif
pssi timnas menerima menahan bola sentuhan disemua level timnas bimasakti,positif
gak iqbal bek timnas atlet renang blok timnasu pssi iqbal,negatif
lakukan kolaborasi bentuk tim fifa afc pemerintah indonesia stadiunkanjuruhan aremafc fifa pssi presidenjokowi,negatif
info kejutan coach bima sakti timnas u vs malaysia pssi,negatif
turu indonesia sindrommu ben g kumat macak songar lawan tim non tenggara ketemu asia tenggara macak manis u pssi bimasakti ganyangindonesia,negatif
timnas indonesia u sengaja kalah malaysia bentuk kekecewaan pssi u u pssi pssiwajibtanggungjawab,positif
pssi bimasakti pertandingan pelatih dipecat,negatif
babak indonesia malaysia tolong bentuk tpf salah bertanggung jawa timnasday pssi,positif
timnas indonesia u sengaja kalah malaysia bentuk kekecewaan pssi u u pssi pssiwajibtanggungjawab,positif
pssi bimasakti disetiap pertandingan pelajaran berharga ga diambil pelajaran memperbaiki kesalahan,negatif
tim u indonesia mengakui keunggulan malaysia babak timnasindonesia timnasu afcu pssi,negatif
akibat rotasi pemain paksa fisik pemain bayang malaysia main langsung hancur opa sty tolong masukannya u pssi pialaasia timnasu,negatif
lapangan kubangan sapi malu woy malu iwanbulemundur iwanbuleout pssi timnasindonesia,positif
rekor terpecahkan babak gol lawan malaysia timnasu pssi pialaafcu coachbima janganmaukalah,negatif
untung pakansari penonton pssi,negatif
pakan sari ga main pssi,positif
si crossing pssi,negatif
kalah malaysia pssi coachbimasakti garudamuda ayobisa,positif
selamatkan negara sebelah layak skor wajar beda pelatih pssi kemenpora bimasakti u,negatif
timnas indo bisanya dibantai malaysia pssi,positif
sepakbola indonesia berefleksi perbaiki melayang langit pssi indonesia u malaysia,positif
lapangan standar rumput nya kaya kadang kerbau pssi,negatif
fans clu organisir menciptakan kebersamaan persepakatan perseteruan fans clu pertandingan kalah menang lanyalla sepakbila pssi bola bolo lanyalla,negatif
suporter menciptakan situasi yg kondusif tragedi kanjuruhan bahan perenungan moment menciptakan persatuan fans clu menjunjung nilai sportifitas pssi lanyalla,negatif
